StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
1001,17,1,0,2,19.8,7,1,2,0,0,1,0,2.93,2.0
1002,18,0,0,1,15.4,0,0,1,0,0,0,0,3.04,1.0
1003,15,0,2,3,4.2,26,0,2,0,0,0,0,0.11,4.0
1004,17,1,0,3,10.0,14,0,3,1,0,0,0,2.05,3.0
1005,17,1,0,2,4.7,17,1,3,0,0,0,0,1.29,4.0
1006,18,0,0,1,8.2,0,0,1,1,0,0,0,3.08,1.0
1007,15,0,1,1,15.6,10,0,3,0,1,0,0,2.75,2.0
1008,15,1,1,4,15.4,22,1,1,1,0,0,0,1.36,4.0
1009,17,0,0,0,4.6,1,0,2,0,1,0,1,2.9,2.0
1010,16,1,0,1,18.4,0,0,3,1,0,0,0,3.57,0.0
1011,17,0,0,1,11.9,11,0,1,0,0,0,0,2.15,3.0
1012,17,0,0,1,7.6,15,0,2,0,0,0,1,1.56,4.0
1013,17,0,1,1,10.0,21,0,3,1,0,0,0,1.52,4.0
1014,17,0,1,2,12.1,21,0,4,0,1,0,0,1.75,4.0
1015,18,1,0,1,11.2,9,1,2,0,0,0,0,2.4,3.0
1016,15,0,0,2,9.7,17,1,0,0,1,0,0,1.34,4.0
1017,18,0,3,1,10.1,14,0,2,1,1,0,0,2.23,3.0
1018,18,1,0,0,3.5,16,1,2,0,0,0,0,1.38,4.0
1019,18,0,1,3,16.3,29,0,2,1,0,0,1,0.47,4.0
1020,17,0,0,1,10.8,9,0,2,0,0,1,0,2.4,3.0
1021,16,1,0,3,2.6,2,0,3,0,0,0,1,2.78,2.0
1022,15,0,0,2,15.3,25,0,1,1,0,0,0,0.35,4.0
1023,16,1,1,0,18.6,29,1,1,0,0,0,0,0.31,4.0
1024,18,1,3,4,18.9,20,0,2,1,0,0,0,1.77,4.0
1025,18,1,0,1,7.4,15,0,2,0,0,0,0,1.51,4.0
1026,16,1,0,3,2.7,5,0,4,0,0,1,0,2.98,2.0
1027,16,0,0,1,10.4,2,0,2,0,1,0,0,2.95,2.0
1028,16,1,0,3,2.3,8,0,3,0,0,1,0,2.15,3.0
1029,18,0,0,0,18.7,10,0,3,1,0,0,0,2.85,2.0
1030,18,0,0,2,3.7,20,0,3,1,0,0,0,1.52,4.0
1031,15,0,2,2,5.1,12,1,0,0,1,0,0,1.73,4.0
1032,15,0,0,3,8.1,17,0,4,0,0,0,1,1.85,4.0
1033,18,0,0,3,7.7,25,0,1,0,1,0,0,0.38,4.0
1034,16,0,3,3,15.9,21,0,0,1,1,0,0,0.95,4.0
1035,16,0,0,3,9.1,27,1,2,1,1,0,0,1.14,4.0
1036,15,0,3,1,3.4,23,0,1,0,0,0,0,0.26,4.0
1037,18,0,0,1,5.3,26,1,1,0,0,0,0,0.22,4.0
1038,15,0,2,1,10.2,21,1,1,0,1,0,0,1.07,4.0
1039,15,1,1,1,2.9,3,1,1,1,1,0,0,3.02,1.0
1040,17,1,2,1,12.2,21,1,3,1,1,0,0,1.53,4.0
1041,17,1,3,2,11.3,23,1,1,0,0,0,0,1.06,4.0
1042,17,0,0,1,14.3,7,0,2,0,0,0,0,2.63,2.0
1043,16,1,3,2,18.8,12,1,4,0,0,0,0,2.81,2.0
1044,18,1,0,1,18.2,9,0,2,0,1,0,0,2.89,2.0
1045,18,1,0,1,18.9,1,1,3,1,1,0,0,4.0,0.0
1046,18,0,0,2,4.9,7,0,4,0,0,1,0,2.52,2.0
1047,18,0,1,2,2.6,5,0,1,1,0,0,0,2.56,2.0
1048,17,0,0,2,6.0,15,0,2,0,0,0,0,1.7,4.0
